globalFrame,animation,localFrame,sourceFrame,sourcePiskel,reviewFramePng,exactDuplicateOfGlobal,exactDuplicateOfLocal,adjacentMeanDiffFromPrevious
91,dig-sideways,5,sprites/character/character-v8/runtime/dig-sideways-cleaned-frames/frame-005.png,sprites/character/character-v8/piskel/dig-sideways.piskel,markdown/audit/animation-audit/2026-07-02-legacy-miner-v8-frame-review/by-animation/dig-sideways/frames/frame-005.png,,,6.7784
92,dig-sideways,6,sprites/character/character-v8/runtime/dig-sideways-cleaned-frames/frame-006.png,sprites/character/character-v8/piskel/dig-sideways.piskel,markdown/audit/animation-audit/2026-07-02-legacy-miner-v8-frame-review/by-animation/dig-sideways/frames/frame-006.png,,,19.5229
93,dig-sideways,7,sprites/character/character-v8/runtime/dig-sideways-cleaned-frames/frame-007.png,sprites/character/character-v8/piskel/dig-sideways.piskel,markdown/audit/animation-audit/2026-07-02-legacy-miner-v8-frame-review/by-animation/dig-sideways/frames/frame-007.png,,,29.49
94,dig-sideways,8,sprites/character/character-v8/runtime/dig-sideways-cleaned-frames/frame-008.png,sprites/character/character-v8/piskel/dig-sideways.piskel,markdown/audit/animation-audit/2026-07-02-legacy-miner-v8-frame-review/by-animation/dig-sideways/frames/frame-008.png,,,9.8797
95,dig-sideways,9,sprites/character/character-v8/runtime/dig-sideways-cleaned-frames/frame-009.png,sprites/character/character-v8/piskel/dig-sideways.piskel,markdown/audit/animation-audit/2026-07-02-legacy-miner-v8-frame-review/by-animation/dig-sideways/frames/frame-009.png,,,32.0245
96,dig-sideways,10,sprites/character/character-v8/runtime/dig-sideways-cleaned-frames/frame-010.png,sprites/character/character-v8/piskel/dig-sideways.piskel,markdown/audit/animation-audit/2026-07-02-legacy-miner-v8-frame-review/by-animation/dig-sideways/frames/frame-010.png,,,13.0935
97,dig-sideways,11,sprites/character/character-v8/runtime/dig-sideways-cleaned-frames/frame-011.png,sprites/character/character-v8/piskel/dig-sideways.piskel,markdown/audit/animation-audit/2026-07-02-legacy-miner-v8-frame-review/by-animation/dig-sideways/frames/frame-011.png,,,20.5872
98,dig-sideways,12,sprites/character/character-v8/runtime/dig-sideways-cleaned-frames/frame-012.png,sprites/character/character-v8/piskel/dig-sideways.piskel,markdown/audit/animation-audit/2026-07-02-legacy-miner-v8-frame-review/by-animation/dig-sideways/frames/frame-012.png,,,6.0774
99,dig-sideways,13,sprites/character/character-v8/runtime/dig-sideways-cleaned-frames/frame-013.png,sprites/character/character-v8/piskel/dig-sideways.piskel,markdown/audit/animation-audit/2026-07-02-legacy-miner-v8-frame-review/by-animation/dig-sideways/frames/frame-013.png,,,7.0569
100,dig-sideways,14,sprites/character/character-v8/runtime/dig-sideways-cleaned-frames/frame-014.png,sprites/character/character-v8/piskel/dig-sideways.piskel,markdown/audit/animation-audit/2026-07-02-legacy-miner-v8-frame-review/by-animation/dig-sideways/frames/frame-014.png,,,10.1015
101,dig-sideways,15,sprites/character/character-v8/runtime/dig-sideways-cleaned-frames/frame-015.png,sprites/character/character-v8/piskel/dig-sideways.piskel,markdown/audit/animation-audit/2026-07-02-legacy-miner-v8-frame-review/by-animation/dig-sideways/frames/frame-015.png,,,9.8318
102,dig-sideways,16,sprites/character/character-v8/runtime/dig-sideways-cleaned-frames/frame-016.png,sprites/character/character-v8/piskel/dig-sideways.piskel,markdown/audit/animation-audit/2026-07-02-legacy-miner-v8-frame-review/by-animation/dig-sideways/frames/frame-016.png,,,13.562
103,dig-sideways,17,sprites/character/character-v8/runtime/dig-sideways-cleaned-frames/frame-017.png,sprites/character/character-v8/piskel/dig-sideways.piskel,markdown/audit/animation-audit/2026-07-02-legacy-miner-v8-frame-review/by-animation/dig-sideways/frames/frame-017.png,,,33.0764
104,dig-up,0,sprites/character/character-v8/runtime/dig-up-cleaned-frames/frame-000.png,sprites/character/character-v8/piskel/dig-up.piskel,markdown/audit/animation-audit/2026-07-02-legacy-miner-v8-frame-review/by-animation/dig-up/frames/frame-000.png,,,
105,dig-up,1,sprites/character/character-v8/runtime/dig-up-cleaned-frames/frame-001.png,sprites/character/character-v8/piskel/dig-up.piskel,markdown/audit/animation-audit/2026-07-02-legacy-miner-v8-frame-review/by-animation/dig-up/frames/frame-001.png,,,10.6595
106,dig-up,2,sprites/character/character-v8/runtime/dig-up-cleaned-frames/frame-002.png,sprites/character/character-v8/piskel/dig-up.piskel,markdown/audit/animation-audit/2026-07-02-legacy-miner-v8-frame-review/by-animation/dig-up/frames/frame-002.png,,,11.4489
107,dig-up,3,sprites/character/character-v8/runtime/dig-up-cleaned-frames/frame-003.png,sprites/character/character-v8/piskel/dig-up.piskel,markdown/audit/animation-audit/2026-07-02-legacy-miner-v8-frame-review/by-animation/dig-up/frames/frame-003.png,,,22.2717
108,dig-up,4,sprites/character/character-v8/runtime/dig-up-cleaned-frames/frame-004.png,sprites/character/character-v8/piskel/dig-up.piskel,markdown/audit/animation-audit/2026-07-02-legacy-miner-v8-frame-review/by-animation/dig-up/frames/frame-004.png,,,17.4016
